,text,time,lang,country,retweets,favorites
158,"RT @michaelkbusch: .@antloewenstein reviews @nickturse's new book on #SouthSudan, in @LAReviewofBooks https://t.co/WUGv4Apal7… https://t.co…",Mon Jul 25 15:00:13 +0000 2016,en,,0,0
159,RT @IndianExpress: Pakistan dismissive of India's decision to withdraw diplomats' kids https://t.co/kaXTeWeZYY https://t.co/aUkBRhUkqa,Mon Jul 25 15:00:13 +0000 2016,en,,0,0
160,A show about alternative work spaces and innovation in the workplace at @VDM_News  open until 9 October https://t.co/C9TfqAV2sy,Mon Jul 25 15:00:13 +0000 2016,en,,0,0
162,"RT @Lovelyz_Global: [TRANS] #JISOO confirmed to appear on 'Real Man'
https://t.co/fR4eKrt19n https://t.co/2FVKIsc6mG",Mon Jul 25 15:00:13 +0000 2016,en,,0,0
163,German music festival bomber pledged allegiance to Islamic State:  https://t.co/jmsENVevWV via @vicenews,Mon Jul 25 15:00:13 +0000 2016,en,,0,0
164,"RT @wikileaks: Major error in @NYTimes ""subplot"" story. The documents the article talks about are not the emails we released. Infact, not e…",Mon Jul 25 15:00:13 +0000 2016,en,,0,0
166,Prince William admits Prince George got ‘too many’ presents for his 3rd birthday  #missoldholiday https://t.co/SBzG9Wb4ZX,Mon Jul 25 15:00:13 +0000 2016,en,,0,0
167,Inbox: Will the #Rays move Archer? https://t.co/8A78WGRpW9 #MLB,Mon Jul 25 15:00:13 +0000 2016,en,,0,0
169,Honeywell among top #prospect performers Friday https://t.co/t7apAKJzIV #MLB,Mon Jul 25 15:00:13 +0000 2016,en,,0,0
170,"RT @islamiittihad: ""SYRIA GO""
https://t.co/auJyrmaJl2 https://t.co/lN9kKGiSvq",Mon Jul 25 15:00:14 +0000 2016,en,,0,0
171,RT @PerfectGameUSA: The all tournament team from the 16u @PGWWBA National Championship has been released! https://t.co/6JhHLA3oky https://t…,Mon Jul 25 15:00:14 +0000 2016,en,,0,0
172,"Clinton camp in opening DNC presser: Russians hacked DNC, leaked info to help Donald Trump https://t.co/WCP92RwwYM",Mon Jul 25 15:00:14 +0000 2016,en,,0,0
175,Psst! This Article Has The Secrets About Real Estate Investing You Want To Hear - https://t.co/6yCPZf6qK9,Mon Jul 25 15:00:14 +0000 2016,en,,0,0
176,"Good Luck, Everybody https://t.co/dNkLXGWc4y free article dir https://t.co/I0EKEszQ8t",Mon Jul 25 15:00:14 +0000 2016,en,,0,0
179,This is going to be one hell of an origin story! https://t.co/4cqwE2iBGp,Mon Jul 25 15:00:15 +0000 2016,en,,0,0
180,"RT @ieEntertainment: Thank you for your prayers and supports, tweets @BeingSalmanKhan
https://t.co/vUkGgLu5H6 https://t.co/4YjNvU3Oup",Mon Jul 25 15:00:15 +0000 2016,en,,0,0
181,"RT @Mealsaps: Burger King Admits To Using Horse Meat In Burgers, Including Whopper https://t.co/NMbxZCTVWI",Mon Jul 25 15:00:15 +0000 2016,en,,0,0
